text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,tokens,sentiment_scores,compound_score,sentiment
if rubio wins and #trump loses in #florida... #hillaryclinton #senate #republicanprimary #senaterace #miami... https://t.co/zienecvnmo,2016-11-08 04:12:16,,en,,,0,18105,The most trending Marco Rubio news as collected by Trendolizer (http://t.co/dzB23WEO89),Washington DC,3175968009,2015-04-17 09:59:55,False,False,http://t.co/TbC8SzlTVN,57,121,False,,96,True,Marco Rubio Trends,nl,Rubiolizer,False,C0DEED,http://pbs.twimg.com/profile_images/589006530726469632/1NEazJXa_normal.jpg,,795841341146234880,0,False,Lead Stories Feed Publisher,False,0,"['if', 'rubio', 'wins', 'and', '#', 'trump', 'loses', 'in', '#', 'florida', '...', '#', 'hillaryclinton', '#', 'senate', '#', 'republicanprimary', '#', 'senaterace', '#', 'miami', '...', 'https', ':', '//t.co/zienecvnmo']","{'neg': 0.128, 'neu': 0.667, 'pos': 0.206, 'compound': 0.34}",0.34,Positive
"even if #hillary wins, nothing will change unless the #democrats take back the #senate. #vote!",2016-11-08 05:41:31,,en,,,8,584,Everlasting gobstopper of wit. Random blasts of sarcasm. Heart of gold.,"Los Angeles, CA",150527753,2010-06-01 04:36:22,False,False,,5,153,False,-28800.0,417,False,Brennan W. Penney,en,BrennanWPenney,False,000000,http://pbs.twimg.com/profile_images/748660232063094784/Vq_9jtaJ_normal.jpg,Pacific Time (US & Canada),795863800020750336,0,False,Facebook,False,0,"['even', 'if', '#', 'hillary', 'wins', ',', 'nothing', 'will', 'change', 'unless', 'the', '#', 'democrats', 'take', 'back', 'the', '#', 'senate', '.', '#', 'vote', '!']","{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.6114}",0.6114,Positive
"agree, the after effect may humble gop even more if @thedemocrats can take the #senate . #hillary has shown she can… https://t.co/tc7qgofkmv",2016-11-08 06:13:34,,en,,,7936,8278,"Love Life, Love that Mozart, Lover of Nature,  Vietnam Vet USN 1968-1971, baseball nerd, an observer more than participant at this stage of life. #ImwithHer","Oregon, USA",4750874478,2016-01-13 02:19:02,False,False,,29,2991,False,-28800.0,4856,False,Charles Rothrock,en,charlesrothroc2,False,000000,http://pbs.twimg.com/profile_images/687097500679835648/Bn2bw-lK_normal.jpg,Pacific Time (US & Canada),795871869119275009,5,False,Twitter Web Client,False,3,"['agree', ',', 'the', 'after', 'effect', 'may', 'humble', 'gop', 'even', 'more', 'if', '@', 'thedemocrats', 'can', 'take', 'the', '#', 'senate', '.', '#', 'hillary', 'has', 'shown', 'she', 'can…', 'https', ':', '//t.co/tc7qgofkmv']","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,Positive
politico says democrats are on the brink of taking back the senate! let's make it happen.! #voteblue!! #hillary #senate #house #state #local,2016-11-08 06:42:41,,en,,,56964,187056,"Progressive. Activist. Passionate and Bold. I *heart* PBO. Please follow back! If I don't follow back right away, hang in there! P.S. RWNJs will be blocked.",Haunting the GOP's nightmares.,40601473,2009-05-17 03:41:10,False,False,,362,9027,False,-14400.0,8487,False,Gina,en,redhed67,True,FFF04D,http://pbs.twimg.com/profile_images/787539124412489728/oDmgm9ZN_normal.jpg,Atlantic Time (Canada),795879193489850368,8,False,Twitter Web Client,False,6,"['politico', 'says', 'democrats', 'are', 'on', 'the', 'brink', 'of', 'taking', 'back', 'the', 'senate', '!', 'let', ""'s"", 'make', 'it', 'happen.', '!', '#', 'voteblue', '!', '!', '#', 'hillary', '#', 'senate', '#', 'house', '#', 'state', '#', 'local']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"#senate sessions stumps for trump, rises on national stage https://t.co/odubhznjzp @senatorsessions",2016-11-08 07:23:07,,en,,,728,160390,US SENATE NEWS FEED.  The U.S. Senate is the world's greatest deliberative body. We tweet news items covering all 100 United States Senators. #EPluribusUnum,USA,190890578,2010-09-15 02:41:11,False,False,,798,14726,False,-32400.0,13974,False,Quorum Call,en,QuorumCall,False,473969,http://pbs.twimg.com/profile_images/615587701736144897/XQc7tM8Z_normal.png,Alaska,795889369512980480,1,False,dlvr.it,False,0,"['#', 'senate', 'sessions', 'stumps', 'for', 'trump', ',', 'rises', 'on', 'national', 'stage', 'https', ':', '//t.co/odubhznjzp', '@', 'senatorsessions']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
#senate franken hits the road for clinton in minnesota https://t.co/6evoxvxstw @alfranken,2016-11-08 07:30:08,,en,,,728,160390,US SENATE NEWS FEED.  The U.S. Senate is the world's greatest deliberative body. We tweet news items covering all 100 United States Senators. #EPluribusUnum,USA,190890578,2010-09-15 02:41:11,False,False,,798,14726,False,-32400.0,13974,False,Quorum Call,en,QuorumCall,False,473969,http://pbs.twimg.com/profile_images/615587701736144897/XQc7tM8Z_normal.png,Alaska,795891135776362496,0,False,dlvr.it,False,0,"['#', 'senate', 'franken', 'hits', 'the', 'road', 'for', 'clinton', 'in', 'minnesota', 'https', ':', '//t.co/6evoxvxstw', '@', 'alfranken']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"#senate sessions stumps for trump, rises on national stage https://t.co/ddur3k4pvw senatorsessions nta•news",2016-11-08 07:31:08,,en,,,4722,247322,"News & #ALERTS. We are a large group of proud American patriots that consist of reporters, officials, and Citizens. #TruthSeeker #WeThePeople #BackTheBlue.",24hr Live HD Stream Broadcast,2836839353,2014-10-19 04:50:02,False,False,https://t.co/ceRinWzb9I,288,17479,False,-18000.0,2291,False,NTA✪NEWS ROOM™,en,NoThiefs,False,1B95E0,http://pbs.twimg.com/profile_images/797127661717962752/vJicsH9I_normal.jpg,Eastern Time (US & Canada),795891387459923968,0,False,IFTTT,False,0,"['#', 'senate', 'sessions', 'stumps', 'for', 'trump', ',', 'rises', 'on', 'national', 'stage', 'https', ':', '//t.co/ddur3k4pvw', 'senatorsessions', 'nta•news']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
#senate franken hits the road for clinton in minnesota https://t.co/ixfl88szav alfranken nta•news,2016-11-08 07:31:09,,en,,,4722,247322,"News & #ALERTS. We are a large group of proud American patriots that consist of reporters, officials, and Citizens. #TruthSeeker #WeThePeople #BackTheBlue.",24hr Live HD Stream Broadcast,2836839353,2014-10-19 04:50:02,False,False,https://t.co/ceRinWzb9I,288,17479,False,-18000.0,2291,False,NTA✪NEWS ROOM™,en,NoThiefs,False,1B95E0,http://pbs.twimg.com/profile_images/797127661717962752/vJicsH9I_normal.jpg,Eastern Time (US & Canada),795891392279093248,0,False,IFTTT,False,0,"['#', 'senate', 'franken', 'hits', 'the', 'road', 'for', 'clinton', 'in', 'minnesota', 'https', ':', '//t.co/ixfl88szav', 'alfranken', 'nta•news']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
#senate sen. debbie stabenow fires up gvsu crowd of 4600 for clinton https://t.co/4wqryngsr1 @senstabenow,2016-11-08 07:38:07,,en,,,728,160390,US SENATE NEWS FEED.  The U.S. Senate is the world's greatest deliberative body. We tweet news items covering all 100 United States Senators. #EPluribusUnum,USA,190890578,2010-09-15 02:41:11,False,False,,798,14726,False,-32400.0,13974,False,Quorum Call,en,QuorumCall,False,473969,http://pbs.twimg.com/profile_images/615587701736144897/XQc7tM8Z_normal.png,Alaska,795893144181084160,0,False,dlvr.it,False,0,"['#', 'senate', 'sen.', 'debbie', 'stabenow', 'fires', 'up', 'gvsu', 'crowd', 'of', '4600', 'for', 'clinton', 'https', ':', '//t.co/4wqryngsr1', '@', 'senstabenow']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
#senate sen. debbie stabenow fires up gvsu crowd of 4600 for clinton https://t.co/rblcjswx8h senstabenow nta•news,2016-11-08 07:41:10,,en,,,4722,247322,"News & #ALERTS. We are a large group of proud American patriots that consist of reporters, officials, and Citizens. #TruthSeeker #WeThePeople #BackTheBlue.",24hr Live HD Stream Broadcast,2836839353,2014-10-19 04:50:02,False,False,https://t.co/ceRinWzb9I,288,17479,False,-18000.0,2291,False,NTA✪NEWS ROOM™,en,NoThiefs,False,1B95E0,http://pbs.twimg.com/profile_images/797127661717962752/vJicsH9I_normal.jpg,Eastern Time (US & Canada),795893913752129536,0,False,IFTTT,False,1,"['#', 'senate', 'sen.', 'debbie', 'stabenow', 'fires', 'up', 'gvsu', 'crowd', 'of', '4600', 'for', 'clinton', 'https', ':', '//t.co/rblcjswx8h', 'senstabenow', 'nta•news']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
